,URL,NAME,ACTIVE_FROM,ACTIVE_TO,POSITION,COLLEGE,DRAFT_YEAR,DRAFT_PICK,DRAFT_TEAM,BIRTH_DATE(year),HEIGHT(cm),WEIGHT(kg)
155,/players/b/barroea01.html,Earl Barron,2006,2015,C,Memphis,Undrafted,Undrafted,Undrafted,1981,213.36,113.4
156,/players/b/barroda01.html,Dana Barros,1990,2004,G,Boston College,1989.0,16.0,SEA,1967,180.34,73.94
157,/players/b/barrybr01.html,Brent Barry,1996,2009,G,Oregon State,1995.0,15.0,DEN,1971,198.12,83.91
158,/players/b/barrydr01.html,Drew Barry,1998,2000,G,Georgia Tech,1996.0,57.0,SEA,1973,195.57999999999998,86.64
159,/players/b/barryjo01.html,Jon Barry,1993,2006,G,"University of the Pacific, Georgia Tech",1992.0,21.0,BOS,1969,193.04,88.45
160,/players/b/bartowi01.html,Will Barton,2013,2022,G,Memphis,2012.0,40.0,POR,1991,198.12,82.1
161,/players/b/basdeed01.html,Eddie Basden,2006,2006,G,UNC Charlotte,Undrafted,Undrafted,Undrafted,1983,195.57999999999998,97.52
162,/players/b/bassbr01.html,Brandon Bass,2006,2017,F,LSU,2005.0,33.0,NOH,1985,203.2,113.4
163,/players/b/basspa01.html,Paris Bass,2022,2022,F,Detroit Mercy,Undrafted,Undrafted,Undrafted,1995,203.2,90.72
164,/players/b/bassech01.html,Charles Bassey,2022,2022,C,Western Kentucky,2021.0,53.0,PHI,2000,210.82,106.59
165,/players/b/bastoma01.html,Maceo Baston,2003,2009,F,Michigan,1998.0,58.0,CHI,1975,205.74,97.52
166,/players/b/bateeme01.html,Mengke Bateer,2002,2004,C,No College,Undrafted,Undrafted,Undrafted,1975,210.82,131.54
167,/players/b/bateske01.html,Keita Bates-Diop,2019,2022,F,Ohio State,2018.0,48.0,MIN,1996,203.2,103.87
168,/players/b/batises01.html,Esteban Batista,2006,2007,F-C,No College,Undrafted,Undrafted,Undrafted,1983,208.28,122.47
169,/players/b/batismi01.html,Mike Batiste,2003,2003,F,Arizona State,Undrafted,Undrafted,Undrafted,1977,203.2,102.06
170,/players/b/battito01.html,Tony Battie,1998,2012,C-F,Texas Tech,1997.0,5.0,DEN,1976,210.82,104.33
171,/players/b/battish01.html,Shane Battier,2002,2014,F,Duke,2001.0,6.0,MEM,1978,203.2,99.79
172,/players/b/battljo01.html,John Battle,1986,1995,G,Rutgers University,1985.0,84.0,ATL,1962,187.96,79.38
173,/players/b/battlke01.html,Kenny Battle,1990,1993,F,"Northern Illinois, Illinois",1989.0,27.0,DET,1964,198.12,95.25
174,/players/b/batumni01.html,Nicolas Batum,2009,2022,F-G,No College,2008.0,25.0,HOU,1988,203.2,104.33
175,/players/b/baxtelo01.html,Lonny Baxter,2003,2006,F,Maryland,2002.0,44.0,CHI,1979,203.2,117.93
176,/players/b/bayleje01.html,Jerryd Bayless,2009,2019,G,Arizona,2008.0,11.0,IND,1988,190.5,90.72
177,/players/b/baynear01.html,Aron Baynes,2013,2021,C,Washington State,Undrafted,Undrafted,Undrafted,1986,208.28,117.93
178,/players/b/bazarse01.html,Sergei Bazarevich,1995,1995,G,No College,Undrafted,Undrafted,Undrafted,1965,187.96,76.2
179,/players/b/bazemke01.html,Kent Bazemore,2013,2022,G-F,Old Dominion,Undrafted,Undrafted,Undrafted,1989,193.04,88.45
180,/players/b/bazleda01.html,Darius Bazley,2020,2022,F,No College,2019.0,23.0,UTA,2000,203.2,94.35
181,/players/b/bealbr01.html,Bradley Beal,2013,2022,G,Florida,2012.0,3.0,WAS,1993,193.04,93.89
182,/players/b/beaslje01.html,Jerome Beasley,2004,2004,F,"Midland College, University of North Dakota",2003.0,33.0,MIA,1980,208.28,107.5
183,/players/b/beaslma01.html,Malik Beasley,2017,2022,G,Florida State,2016.0,19.0,DEN,1996,193.04,84.82
184,/players/b/beaslmi01.html,Michael Beasley,2009,2019,F,Kansas State,2008.0,2.0,MIA,1989,205.74,106.59
185,/players/b/beaubro01.html,Rodrigue Beaubois,2010,2013,G,No College,2009.0,25.0,OKC,1988,182.88,77.11
186,/players/b/beckco01.html,Corey Beck,1996,1999,G,"South Plains College, Arkansas",Undrafted,Undrafted,Undrafted,1971,185.42,86.18
187,/players/b/bedfowi01.html,William Bedford,1987,1993,C,Memphis,1986.0,6.0,PHO,1963,213.36,102.06
188,/players/b/belinma01.html,Marco Belinelli,2008,2020,G-F,No College,2007.0,18.0,GSW,1986,195.57999999999998,99.79
189,/players/b/bellch01.html,Charlie Bell,2002,2011,G,Michigan State,Undrafted,Undrafted,Undrafted,1979,190.5,90.72
190,/players/b/belljo01.html,Jordan Bell,2018,2022,F,Oregon,2017.0,38.0,CHI,1995,203.2,97.98
191,/players/b/bellra01.html,Raja Bell,2001,2012,G,"Boston University, Florida International University",Undrafted,Undrafted,Undrafted,1976,195.57999999999998,92.53
192,/players/b/belltr01.html,Troy Bell,2004,2004,G,Boston College,2003.0,16.0,BOS,1980,185.42,81.65
193,/players/b/bembrde01.html,DeAndre' Bembry,2017,2022,F,Saint Joseph's,2016.0,21.0,ATL,1994,195.57999999999998,95.25
194,/players/b/bendedr01.html,Dragan Bender,2017,2020,F,No College,2016.0,4.0,PHO,1997,213.36,102.06
195,/players/b/bendejo01.html,Jonathan Bender,2000,2010,F,No College,1999.0,5.0,TOR,1981,210.82,91.63
196,/players/b/benimje01.html,Jerrelle Benimon,2015,2015,F,"Georgetown, Towson University",Undrafted,Undrafted,Undrafted,1991,203.2,111.13
197,/players/b/benjabe01.html,Benoit Benjamin,1986,2000,C,Creighton,1985.0,3.0,LAC,1964,213.36,113.4
198,/players/b/benjaco01.html,Corey Benjamin,1999,2003,G,Oregon State,1998.0,28.0,CHI,1978,198.12,90.72
199,/players/b/bennean01.html,Anthony Bennett,2014,2017,F,UNLV,2013.0,1.0,CLE,1993,203.2,111.13
200,/players/b/benneel01.html,Elmer Bennett,1995,1997,G,Notre Dame,1992.0,38.0,ATL,1970,182.88,77.11
201,/players/b/bennema01.html,Mario Bennett,1996,2000,F,Arizona State,1995.0,27.0,PHO,1973,198.12,106.59
202,/players/b/benneto01.html,Tony Bennett,1993,1995,G,Green Bay,1992.0,35.0,CHH,1969,182.88,79.38
203,/players/b/bennewi01.html,Winston Bennett,1990,1992,F,Kentucky,1988.0,64.0,CLE,1965,200.66,95.25
204,/players/b/benoida01.html,David Benoit,1992,2001,F,Alabama,Undrafted,Undrafted,Undrafted,1968,203.2,99.79
